condition	featureID	P_perm	E0	V0	obs	a_0	b_0	P_param	FDR
PAM3CSK4	(1.00812e+08,1.00814e+08]	0.62	0.00352261767020009	1.39382468909017e-05	0.00419384933765048	0.88361360289407	249.956439340995	0.699094957261477	0.91659116618727
PAM3CSK4	(1.00814e+08,1.00816e+08]	0.45	0.00356540960502047	1.02152209766089e-05	0.00217656128787023	1.23642946415939	345.548260412249	0.422244593512759	0.711783743350079
PAM3CSK4	(1.00816e+08,1.00818e+08]	0.47	0.00357673544783657	6.88238800754497e-06	0.00271835848675529	1.84858259396379	514.986565245087	0.457739507667597	0.750184193121895
PAM3CSK4	(1.00818e+08,1.0082e+08]	0	0.00296683430161836	8.72051505805088e-06	3.71344280337006e-06	1.00339475391932	337.200445403918	0.00122156868979824	0.0120120921163493
PAM3CSK4	(1.0082e+08,1.00822e+08]	0	0.00384156972532649	1.80370429049781e-05	4.38099968133399e-06	0.811201420413197	210.352848281757	0.00368760268445087	0.0310812226260859
PAM3CSK4	(1.00822e+08,1.00824e+08]	0.59	0.00380311444392619	1.04767267073553e-05	0.00417035733770384	1.37149976858021	359.253926786905	0.653217852091946	0.91659116618727
PAM3CSK4	(1.00824e+08,1.00826e+08]	0.1	0.00340256525006628	7.71894639008554e-06	0.000525533889877574	1.49136843947774	436.815711622746	0.0736979361240115	0.395288930119698
PAM3CSK4	(1.00826e+08,1.00828e+08]	0.23	0.00378351956918559	9.09225541263327e-06	0.00112185117409325	1.56467870720044	411.986428559105	0.16334254824425	0.461698924596256
PAM3CSK4	(1.00828e+08,1.0083e+08]	0.77	0.0021878130168355	4.48852261610819e-06	0.0027813474236195	1.06187138455777	484.295595815123	0.71848949862621	0.921540878672747
PAM3CSK4	(1.0083e+08,1.00832e+08]	0.11	0.00364555311749313	1.37699059048386e-05	0.000746794344905569	0.95798831811628	261.824719062936	0.193962075576373	0.477877774264188
PAM3CSK4	(1.00832e+08,1.00834e+08]	0.69	0.0040184156238011	1.11927665903376e-05	0.00615008488862601	1.43287173749369	355.1434189296	0.793761779836447	0.964413891328358
PAM3CSK4	(1.00834e+08,1.00836e+08]	0.39	0.00416459559514794	1.1822322515391e-05	0.00213059244659493	1.45676884623727	348.341624048025	0.330280351050982	0.628598087484128
PAM3CSK4	(1.00836e+08,1.00838e+08]	0.11	0.003447897270567	1.34818197542334e-05	0.000466630101976148	0.875291562001732	252.987133363957	0.153031179339405	0.461698924596256
PAM3CSK4	(1.00838e+08,1.0084e+08]	0.92	0.00371835400252095	1.28290760013363e-05	0.00982968212889174	1.06999466650745	286.69030620372	0.933038582200766	0.970002784680808
PAM3CSK4	(1.0084e+08,1.00842e+08]	0.86	0.00398548200845403	1.70844478866661e-05	0.00826521307963227	0.922047438812342	230.429502224814	0.870199897821044	0.964413891328358
PAM3CSK4	(1.00842e+08,1.00844e+08]	0.2	0.00371066179417914	7.53880435329686e-06	0.000856717636351893	1.81593051272483	487.565913872406	0.0927828792739296	0.432317197736244
PAM3CSK4	(1.00844e+08,1.00846e+08]	0.24	0.00348788017873644	8.75558967215699e-06	0.00112168889735998	1.3810992759142	394.589864501441	0.206239130183774	0.484229012515373
PAM3CSK4	(1.00846e+08,1.00848e+08]	0.22	0.0042680145736492	1.53297401657482e-05	0.000993326899530587	1.17893550169736	275.046808659564	0.172158921035892	0.461698924596256
PAM3CSK4	(1.00848e+08,1.0085e+08]	0	0.0047967520862832	1.19660006893845e-05	2.07961536862373e-09	1.90883032479513	396.033421111051	1.32393786980763e-12	7.81123343186504e-11
PAM3CSK4	(1.0085e+08,1.00852e+08]	0.12	0.00363085815290436	9.56145690289414e-06	0.000696651913807856	1.37014146352444	375.990087392689	0.112926679693182	0.44417827345985
PAM3CSK4	(1.00852e+08,1.00854e+08]	0	0.00476068688593001	1.58975793940983e-05	5.9354921305588e-06	1.41408693729652	295.620137572572	0.000101119210530567	0.00119320668426069
PAM3CSK4	(1.00854e+08,1.00856e+08]	0	0.00429205087427301	1.17274639312581e-05	1.32156471433262e-08	1.55978300731722	361.852267084335	3.62755451769185e-09	1.0701285827191e-07
PAM3CSK4	(1.00856e+08,1.00858e+08]	0.34	0.00236486609826991	4.78824128982554e-06	0.000736497342466755	1.16285751819911	490.559493717599	0.234672080887111	0.512801954531094
PAM3CSK4	(1.00858e+08,1.0086e+08]	0.22	0.00445718309267848	1.58673813106299e-05	0.00109318819546969	1.24199503171877	277.408221011439	0.171079435563731	0.461698924596256
PAM3CSK4	(1.0086e+08,1.00862e+08]	0.13	0.00395023374491847	1.2797351769817e-05	0.00058871533387262	1.2105749353989	305.245957404279	0.102583741835719	0.432317197736244
PAM3CSK4	(1.00862e+08,1.00864e+08]	0.31	0.00363894258904347	1.04162935055318e-05	0.00133613407304067	1.26300323045989	345.81673203733	0.257645823008959	0.542896555626022
PAM3CSK4	(1.00864e+08,1.00866e+08]	0.25	0.0034430980163431	8.28330240755859e-06	0.00116952541416546	1.42281248263572	411.81331262393	0.213389056362707	0.484229012515373
PAM3CSK4	(1.00866e+08,1.00868e+08]	0.58	0.00239241020264903	5.17368436860941e-06	0.00261325117511355	1.10125692522311	459.211495463031	0.659987451769809	0.91659116618727
PAM3CSK4	(1.00868e+08,1.0087e+08]	0.16	0.0046343538526232	1.20108959289111e-05	0.000886265545672827	1.77522475475675	381.28243791205	0.071906608379799	0.395288930119698
PAM3CSK4	(1.0087e+08,1.00872e+08]	0.98	0.00427025908402128	1.13385035117217e-05	0.0112648350183775	1.59710896794328	372.410401236633	0.956119128325055	0.972603940882384
PAM3CSK4	(1.00872e+08,1.00874e+08]	0.82	0.00361866845628888	8.71123245431154e-06	0.00652290590878548	1.49414595497242	411.405232095466	0.855581849341756	0.964413891328358
